id,title,cluster_label,best_algorithm,best_k
1627085,Immersed,0,MiniBatchKMeans,2
1626914,Cinderella,0,MiniBatchKMeans,2
1626898,Aladdin,0,MiniBatchKMeans,2
1626808,THE RING AND THE DECK,0,MiniBatchKMeans,2
1626678,Crimson High 3,0,MiniBatchKMeans,2
1626234,Conversations with Rasparagus Asparagus Baragus,0,MiniBatchKMeans,2
1626010,Highway To Hell,0,MiniBatchKMeans,2
1625551,Pari's daughter,0,MiniBatchKMeans,2
1625043,Escort,0,MiniBatchKMeans,2
1624457,Dream,0,MiniBatchKMeans,2
1624434,Lively,0,MiniBatchKMeans,2
1624429,قایق‌سواری در تهران,0,MiniBatchKMeans,2
1624424,Midnight,0,MiniBatchKMeans,2
1624358,Emir - Posljednji dalmatinski težak,0,MiniBatchKMeans,2
1624096,Our Dead Husband,0,MiniBatchKMeans,2
1623951,Bonehead 2,0,MiniBatchKMeans,2
1623350,Crocodile Dose,0,MiniBatchKMeans,2
1623255,Doppelgänger,0,MiniBatchKMeans,2
1619203,COLLAPSE,0,MiniBatchKMeans,2
1616939,Enquanto Você Me Lembrar,0,MiniBatchKMeans,2
1613540,NJPW Road to The New Beginning 2026 - Day 5,0,MiniBatchKMeans,2
1610164,En attendant Maéva,0,MiniBatchKMeans,2
1608195,Misery Signals: The Final Performance,0,MiniBatchKMeans,2
1607288,Vain temps,0,MiniBatchKMeans,2
1606286,Order for Mike Snow,0,MiniBatchKMeans,2
1604609,the streetlights flicker when i blink,0,MiniBatchKMeans,2
1604427,Avant de Sortir,0,MiniBatchKMeans,2
1604252,Sola Fata,0,MiniBatchKMeans,2
1604244,Submergido,0,MiniBatchKMeans,2
1603184,The Conversation,0,MiniBatchKMeans,2
1600606,Home Bitter Home,0,MiniBatchKMeans,2
1600577,The Second Skin,0,MiniBatchKMeans,2
1600560,WOLFGANG,0,MiniBatchKMeans,2
1600558,"""It's too cold for the spirits to live here""",0,MiniBatchKMeans,2
1600181,First Days,0,MiniBatchKMeans,2
1600109,Now Then Forward,0,MiniBatchKMeans,2
1599923,After the Cities,0,MiniBatchKMeans,2
1599908,Ashes and Echoes,0,MiniBatchKMeans,2
1599687,Septum,0,MiniBatchKMeans,2
1599445,Between Brothers,0,MiniBatchKMeans,2
1599379,Master,0,MiniBatchKMeans,2
1599277,Cyclone,0,MiniBatchKMeans,2
1596445,Starlings : Leaflets,0,MiniBatchKMeans,2
1596439,Not Included—Embedded,0,MiniBatchKMeans,2
1596438,You Just Watch & See,0,MiniBatchKMeans,2
1596436,Río,0,MiniBatchKMeans,2
1596431,A HEALING OPERA,0,MiniBatchKMeans,2
1596126,AGOS-TONO,0,MiniBatchKMeans,2
1584904,Three Ways of Returning,0,MiniBatchKMeans,2
1584885,Waves Turn,0,MiniBatchKMeans,2
1582426,Tame,0,MiniBatchKMeans,2
1580164,Why Do I See You in Everything?,0,MiniBatchKMeans,2
1580158,What We Said to Brussels Airlines,0,MiniBatchKMeans,2
1575764,eye see you,0,MiniBatchKMeans,2
1569967,Andre,0,MiniBatchKMeans,2
1568085,The Passion According to G.H.B.,0,MiniBatchKMeans,2
1565990,Mountain King,0,MiniBatchKMeans,2
1543333,Parentheses,0,MiniBatchKMeans,2
1530539,The Pool,0,MiniBatchKMeans,2
